num_episodes,R_avg_tot,R_avg_curr
718,0.0856151431798935,tensor(0.1880)
815,0.0701464861631393,tensor(0.2265)
8046,0.0678865611553192,tensor(0.4331)
16035,0.0649071857333183,tensor(0.5629)
22047,0.0377724505960941,tensor(0.6002)
23013,0.0420499220490455,tensor(0.5628)
23629,0.049291543662548,tensor(0.5666)
24002,0.0387245006859302,tensor(0.5798)
25032,0.0357172936201095,tensor(0.5132)
26015,0.0337560474872589,tensor(0.4961)
27039,0.031186431646347,tensor(0.5034)
28033,0.0346936844289302,tensor(0.5054)
29010,0.0406867116689682,tensor(0.5332)
30011,0.0317027866840362,tensor(0.5821)
31003,0.0348313562572002,tensor(0.5413)
31040,0.0345549136400222,tensor(0.5389)
32030,0.03098950907588,tensor(0.5519)
34029,0.0415270030498504,tensor(0.5912)
35017,0.043681226670742,tensor(0.5919)
36032,0.0338847376406192,tensor(0.6010)
37030,0.0307913329452276,tensor(0.6322)
38008,0.0308121293783187,tensor(0.5919)
38279,0.0431121364235878,tensor(0.5784)
