num_episodes,R_avg_tot,R_avg_curr
675,0.087504856288433,tensor(0.1429)
1351,0.1040563508868217,tensor(0.1609)
843,-0.6549566388130188,tensor(-0.5629)
3042,-0.83534175157547,tensor(-0.1536)
807,-3.519258737564087,tensor(-0.9809)
4513,-14.161456108093262,tensor(-0.1589)
5326,-17.8179931640625,tensor(0.1059)
578,0.1148469597101211,tensor(0.1430)
2041,0.2333107590675354,tensor(0.2405)
2485,0.2468475699424743,tensor(0.2903)
2924,0.2158241271972656,tensor(0.3339)
680,0.1578166484832763,tensor(0.1740)
1353,0.2542447447776794,tensor(0.2560)
2009,0.09495122730731964,tensor(0.3527)
