num_episodes,R_avg_tot,R_avg_curr
262,0.156827837228775,,
523,0.1895903199911117,,
734,0.2768154442310333,,
920,0.26164710521698,,
3032,0.3880647420883178,,
4043,0.3747401237487793,,
7016,0.3734275102615356,,
11023,0.4055191576480865,,
13024,0.4059391319751739,,
19012,0.3942154049873352,,
22035,0.3956211805343628,,
24030,0.3826935291290283,,
27009,0.3987847566604614,,
31009,0.3926612138748169,,
35015,0.3943722546100616,,
37010,0.3895137310028076,,
39042,0.3844543993473053,,
41049,0.4016870856285095,,
56039,0.3720526397228241,,
61031,0.3790933489799499,,
64001,0.3755399882793426,,
227,,0.1102865114808082,tensor(0.1519)
445,,0.1784104257822036,tensor(0.1654)
614,,0.194813996553421,tensor(0.1738)
802,,0.2263424694538116,tensor(0.1930)
954,,0.2310730218887329,tensor(0.2158)
245,,0.1197983175516128,tensor(0.1394)
450,,0.1510713994503021,tensor(0.1625)
648,,0.2202914506196975,tensor(0.1897)
830,,0.2120330035686493,tensor(0.2171)
1009,,0.241525337100029,tensor(0.2452)
2026,,0.3375994861125946,tensor(0.3723)
8035,,0.3901237547397613,tensor(0.6143)
15071,,0.426844835281372,tensor(0.6568)
15342,,0.4065302014350891,tensor(0.6581)
