num_episodes,R_avg_tot,R_avg_curr
196,0.1489638537168502,tensor(0.1189)
377,0.1781074702739715,tensor(0.1364)
555,0.2020264267921447,tensor(0.1509)
736,0.2121955007314682,tensor(0.1761)
889,0.3070473968982696,tensor(0.1915)
1028,0.3170849084854126,tensor(0.1970)
3003,0.4418333172798157,tensor(0.3505)
4019,0.4567447304725647,tensor(0.3920)
4047,0.4505262672901153,tensor(0.3923)
220,0.1348609328269958,tensor(0.1344)
427,0.1841678172349929,tensor(0.1477)
592,0.2186197638511657,tensor(0.1581)
764,0.2165054529905319,tensor(0.1776)
909,0.3080220818519592,tensor(0.1860)
2047,0.3716962933540344,tensor(0.3309)
2625,0.454287588596344,tensor(0.3918)
3012,0.4765313565731048,tensor(0.4340)
3084,0.4693824350833893,tensor(0.4363)
